"author"
"Yvonne Vera"
"The Caine Prize for African Writing"
"Roger D. Abrahams"
"Vincent Carretta"
"Esi Sutherland-Addy"
"The Caine The Caine Prize for African Writing"
"Bayo Ogunjimi"
"Marie-Chantal Kalisa"
"John William Johnson"
"Tony Martin"
"Various"
"Amandina Lihamba"
"Nobantu Rasebotsa"
"Kevin Powell"
"Werner Sollors"
"New Internationalist"
"McGraw-Hill"
"Gcina Mhlophe"
"Jacana Media"
"Sheila Meintjes"
"ValZrie Orlando"
"Kenneth W. Harrow"
"Anthonia C. Kalu"
"Toyin Falola"
"Monica Arac de Nyeko"
"Linda Rode"
"K. Limakatso Kendall"
"Lorenz Graham"
"Arja Salafranca"
"Isabel Balseiro"
"Valerie Key Orlando"
"Ron Padgett"
"Jon Stewart"
"Dave Eggers"
"Philip Smith"
"Wayne Franklin"
"David Wagoner"
"Joyce Carol Oates"
"Mary Oliver"
"Jerome Klinkowitz"
"Barnes &amp; Noble"
"Joan R. Sherman"
"Wally Lamb"
"Margaret Ferguson"
"Amy Gerstler"
"Henry Louis Gates Jr."
"Lee Gutkind"
